"Name"	"lods"	"F.p.value"
"TSPAN3"	89.3588817331	"1.89119034623314e-44"
"TSPAN3"	35.1908428129	"9.00993247823272e-21"
"ACTA2"	176.0964724325	"3.15377024710689e-82"
"PPT1"	250.2444493764	"1.76041495518315e-114"
"TAX1BP1"	219.274688324	"5.18044706043717e-101"
"TAX1BP1"	359.8523730397	"3.93002620799187e-162"
"MDH1"	249.3626268979	"4.2567629521665e-114"
"PDHA1"	15.1072142012	"6.29720209798459e-12"
"PDHA1"	139.5352704799	"2.58908535382636e-66"
"GNAS"	576.2649334792	"3.46954123913169e-256"
"ANXA6"	70.3716128095	"3.65150666322618e-36"
"CD59"	283.7644127271	"4.68536103187881e-129"
"CD59"	91.118382027	"3.23125791869443e-45"
"CD59"	171.4229150042	"3.40886892633576e-80"
